Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans,Weak Scaling
1,4,SEQ,4.00E-07,2.00E-07,0,0,0,0,
1,4,OMP,2.00E-05,4.60E-06,2.00E-02,4.35E-02,2.00E+00,4.35E+00,
2,4,OMP,0.000137,1.10E-05,2.92E-03,1.82E-02,1.46E-01,9.09E-01,
3,4,OMP,9.00E-05,1.04E-05,4.44E-03,1.92E-02,1.48E-01,6.41E-01,
4,4,OMP,0.0001288,1.12E-05,3.11E-03,1.79E-02,7.76E-02,4.46E-01,
5,4,OMP,0.0001518,1.84E-05,2.64E-03,1.09E-02,5.27E-02,2.17E-01,
6,4,OMP,0.0001836,1.32E-05,2.18E-03,1.52E-02,3.63E-02,2.53E-01,
7,4,OMP,0.0001484,1.22E-05,2.70E-03,1.64E-02,3.85E-02,2.34E-01,
8,4,OMP,0.0001676,1.08E-05,2.39E-03,1.85E-02,2.98E-02,2.31E-01,
9,4,OMP,0.000251,1.22E-05,1.59E-03,1.64E-02,1.77E-02,1.82E-01,
10,4,OMP,0.0002208,1.20E-05,1.81E-03,1.67E-02,1.81E-02,1.67E-01,
11,4,OMP,0.0002238,1.56E-05,1.79E-03,1.28E-02,1.62E-02,1.17E-01,
12,4,OMP,0.00028,1.16E-05,1.43E-03,1.72E-02,1.19E-02,1.44E-01,
13,4,OMP,0.0002688,1.62E-05,1.49E-03,1.23E-02,1.14E-02,9.50E-02,
14,4,OMP,0.000411,0.0001096,9.73E-04,1.82E-03,6.95E-03,1.30E-02,
15,4,OMP,0.0004888,2.24E-05,8.18E-04,8.93E-03,5.46E-03,5.95E-02,
16,4,OMP,0.0004362,1.78E-05,9.17E-04,1.12E-02,5.73E-03,7.02E-02,
17,4,OMP,0.0004646,1.88E-05,8.61E-04,1.06E-02,5.06E-03,6.26E-02,
18,4,OMP,0.0004402,2.00E-05,9.09E-04,1.00E-02,5.05E-03,5.56E-02,
19,4,OMP,0.0004096,1.88E-05,9.77E-04,1.06E-02,5.14E-03,5.60E-02,
20,4,OMP,0.000389,1.50E-05,1.03E-03,1.33E-02,5.14E-03,6.67E-02,
21,4,OMP,0.0004652,1.50E-05,8.60E-04,1.33E-02,4.09E-03,6.35E-02,
22,4,OMP,0.0005574,2.00E-05,7.18E-04,1.00E-02,3.26E-03,4.55E-02,
23,4,OMP,0.000513,1.78E-05,7.80E-04,1.12E-02,3.39E-03,4.89E-02,
24,4,OMP,0.000631,1.72E-05,6.34E-04,1.16E-02,2.64E-03,4.84E-02,
25,4,OMP,0.0004644,1.84E-05,8.61E-04,1.09E-02,3.45E-03,4.35E-02,
26,4,OMP,0.0008248,1.96E-05,4.85E-04,1.02E-02,1.87E-03,3.92E-02,
27,4,OMP,0.0004974,2.22E-05,8.04E-04,9.01E-03,2.98E-03,3.34E-02,
28,4,OMP,0.000687,2.18E-05,5.82E-04,9.17E-03,2.08E-03,3.28E-02,
29,4,OMP,0.0006394,2.08E-05,6.26E-04,9.62E-03,2.16E-03,3.32E-02,
30,4,OMP,0.000689,2.08E-05,5.81E-04,9.62E-03,1.94E-03,3.21E-02,
31,4,OMP,0.0007176,2.10E-05,5.57E-04,9.52E-03,1.80E-03,3.07E-02,
32,4,OMP,0.0008182,2.60E-05,4.89E-04,7.69E-03,1.53E-03,2.40E-02,
33,4,OMP,0.0006738,2.46E-05,5.94E-04,8.13E-03,1.80E-03,2.46E-02,
34,4,OMP,0.0006142,2.08E-05,6.51E-04,9.62E-03,1.92E-03,2.83E-02,
35,4,OMP,0.0006912,2.62E-05,5.79E-04,7.63E-03,1.65E-03,2.18E-02,
36,4,OMP,0.0007296,2.12E-05,5.48E-04,9.43E-03,1.52E-03,2.62E-02,
37,4,OMP,0.000715,2.36E-05,5.59E-04,8.47E-03,1.51E-03,2.29E-02,
38,4,OMP,0.0007966,2.38E-05,5.02E-04,8.40E-03,1.32E-03,2.21E-02,
39,4,OMP,0.0008966,2.64E-05,4.46E-04,7.58E-03,1.14E-03,1.94E-02,
40,4,OMP,0.0008886,3.40E-05,4.50E-04,5.88E-03,1.13E-03,1.47E-02,
41,4,OMP,0.000895,3.52E-05,4.47E-04,5.68E-03,1.09E-03,1.39E-02,
42,4,OMP,0.0008102,2.54E-05,4.94E-04,7.87E-03,1.18E-03,1.87E-02,
43,4,OMP,0.0010042,2.80E-05,3.98E-04,7.14E-03,9.26E-04,1.66E-02,
44,4,OMP,0.0008244,2.42E-05,4.85E-04,8.26E-03,1.10E-03,1.88E-02,
45,4,OMP,0.0008944,2.90E-05,4.47E-04,6.90E-03,9.94E-04,1.53E-02,
46,4,OMP,0.0010166,2.78E-05,3.93E-04,7.19E-03,8.55E-04,1.56E-02,
47,4,OMP,0.0009964,3.04E-05,4.01E-04,6.58E-03,8.54E-04,1.40E-02,
48,4,OMP,0.0008836,3.14E-05,4.53E-04,6.37E-03,9.43E-04,1.33E-02,
49,4,OMP,0.0011392,3.32E-05,3.51E-04,6.02E-03,7.17E-04,1.23E-02,
50,4,OMP,0.0010286,3.88E-05,3.89E-04,5.15E-03,7.78E-04,1.03E-02,
51,4,OMP,0.0009558,3.90E-05,4.18E-04,5.13E-03,8.21E-04,1.01E-02,
52,4,OMP,0.0009228,3.24E-05,4.33E-04,6.17E-03,8.34E-04,1.19E-02,
53,4,OMP,0.0009842,3.30E-05,4.06E-04,6.06E-03,7.67E-04,1.14E-02,
54,4,OMP,0.0009408,3.34E-05,4.25E-04,5.99E-03,7.87E-04,1.11E-02,
55,4,OMP,0.0010564,3.92E-05,3.79E-04,5.10E-03,6.88E-04,9.28E-03,
56,4,OMP,0.0009562,3.58E-05,4.18E-04,5.59E-03,7.47E-04,9.98E-03,
57,4,OMP,0.0011442,3.38E-05,3.50E-04,5.92E-03,6.13E-04,1.04E-02,
58,4,OMP,0.0014002,3.30E-05,2.86E-04,6.06E-03,4.93E-04,1.04E-02,
59,4,OMP,0.0010536,3.56E-05,3.80E-04,5.62E-03,6.43E-04,9.52E-03,
60,4,OMP,0.0010852,3.70E-05,3.69E-04,5.41E-03,6.14E-04,9.01E-03,
61,4,OMP,0.0011006,3.92E-05,3.63E-04,5.10E-03,5.96E-04,8.36E-03,
62,4,OMP,0.001086,3.22E-05,3.68E-04,6.21E-03,5.94E-04,1.00E-02,
63,4,OMP,0.001291,3.70E-05,3.10E-04,5.41E-03,4.92E-04,8.58E-03,
64,4,OMP,0.0011268,3.86E-05,3.55E-04,5.18E-03,5.55E-04,8.10E-03,
65,4,OMP,0.0012502,3.18E-05,3.20E-04,6.29E-03,4.92E-04,9.68E-03,
66,4,OMP,0.0013306,5.72E-05,3.01E-04,3.50E-03,4.55E-04,5.30E-03,
67,4,OMP,0.0012014,3.58E-05,3.33E-04,5.59E-03,4.97E-04,8.34E-03,
68,4,OMP,0.0013084,4.14E-05,3.06E-04,4.83E-03,4.50E-04,7.10E-03,
69,4,OMP,0.001229,4.74E-05,3.25E-04,4.22E-03,4.72E-04,6.12E-03,
70,4,OMP,0.0013342,4.36E-05,3.00E-04,4.59E-03,4.28E-04,6.55E-03,
71,4,OMP,0.0013162,4.02E-05,3.04E-04,4.98E-03,4.28E-04,7.01E-03,
72,4,OMP,0.0013918,3.70E-05,2.87E-04,5.41E-03,3.99E-04,7.51E-03,
73,4,OMP,0.0013482,4.40E-05,2.97E-04,4.55E-03,4.06E-04,6.23E-03,
74,4,OMP,0.0013584,5.14E-05,2.94E-04,3.89E-03,3.98E-04,5.26E-03,
75,4,OMP,0.0013774,4.40E-05,2.90E-04,4.55E-03,3.87E-04,6.06E-03,
76,4,OMP,0.001388,4.56E-05,2.88E-04,4.39E-03,3.79E-04,5.77E-03,
77,4,OMP,0.0013686,4.14E-05,2.92E-04,4.83E-03,3.80E-04,6.27E-03,
78,4,OMP,0.0016766,4.08E-05,2.39E-04,4.90E-03,3.06E-04,6.28E-03,
79,4,OMP,0.0014592,5.48E-05,2.74E-04,3.65E-03,3.47E-04,4.62E-03,
80,4,OMP,0.0014938,4.48E-05,2.68E-04,4.46E-03,3.35E-04,5.58E-03,
81,4,OMP,0.001503,5.32E-05,2.66E-04,3.76E-03,3.29E-04,4.64E-03,
82,4,OMP,0.0016558,5.02E-05,2.42E-04,3.98E-03,2.95E-04,4.86E-03,
83,4,OMP,0.001785,6.14E-05,2.24E-04,3.26E-03,2.70E-04,3.92E-03,
84,4,OMP,0.001812,7.40E-05,2.21E-04,2.70E-03,2.63E-04,3.22E-03,
85,4,OMP,0.0018676,6.40E-05,2.14E-04,3.13E-03,2.52E-04,3.68E-03,
86,4,OMP,0.0018314,5.52E-05,2.18E-04,3.62E-03,2.54E-04,4.21E-03,
87,4,OMP,0.0016232,5.06E-05,2.46E-04,3.95E-03,2.83E-04,4.54E-03,
88,4,OMP,0.0023658,5.40E-05,1.69E-04,3.70E-03,1.92E-04,4.21E-03,
89,4,OMP,0.0025694,5.52E-05,1.56E-04,3.62E-03,1.75E-04,4.07E-03,
90,4,OMP,0.0053556,0.001958,7.47E-05,1.02E-04,8.30E-05,1.13E-04,
91,4,OMP,0.0059734,0.001965,6.70E-05,1.02E-04,7.36E-05,1.12E-04,
92,4,OMP,0.0039894,5.54E-05,1.00E-04,3.61E-03,1.09E-04,3.92E-03,
93,4,OMP,0.0072244,0.0038176,5.54E-05,5.24E-05,5.95E-05,5.63E-05,
94,4,OMP,0.0088736,0.0019492,4.51E-05,1.03E-04,4.80E-05,1.09E-04,
95,4,OMP,0.0087752,0.004805,4.56E-05,4.16E-05,4.80E-05,4.38E-05,
96,4,OMP,0.009482,0.006993,4.22E-05,2.86E-05,4.39E-05,2.98E-05,
1,8,SEQ,8.00E-07,2.00E-07,0,0,0,0,
1,8,OMP,1.32E-05,2.60E-06,6.06E-02,7.69E-02,6.06E+00,7.69E+00,
2,8,OMP,8.98E-05,8.80E-06,8.91E-03,2.27E-02,4.45E-01,1.14E+00,
3,8,OMP,9.54E-05,9.40E-06,8.39E-03,2.13E-02,2.80E-01,7.09E-01,
4,8,OMP,0.0001296,1.30E-05,6.17E-03,1.54E-02,1.54E-01,3.85E-01,
5,8,OMP,0.0001594,1.08E-05,5.02E-03,1.85E-02,1.00E-01,3.70E-01,
6,8,OMP,0.0002076,1.54E-05,3.85E-03,1.30E-02,6.42E-02,2.16E-01,
7,8,OMP,0.0001918,1.14E-05,4.17E-03,1.75E-02,5.96E-02,2.51E-01,
8,8,OMP,0.0001696,1.10E-05,4.72E-03,1.82E-02,5.90E-02,2.27E-01,
9,8,OMP,0.0003116,1.54E-05,2.57E-03,1.30E-02,2.85E-02,1.44E-01,
10,8,OMP,0.00031,1.40E-05,2.58E-03,1.43E-02,2.58E-02,1.43E-01,
11,8,OMP,0.00025,1.46E-05,3.20E-03,1.37E-02,2.91E-02,1.25E-01,
12,8,OMP,0.0002332,1.16E-05,3.43E-03,1.72E-02,2.86E-02,1.44E-01,
13,8,OMP,0.000259,1.58E-05,3.09E-03,1.27E-02,2.38E-02,9.74E-02,
14,8,OMP,0.0003322,1.26E-05,2.41E-03,1.59E-02,1.72E-02,1.13E-01,
15,8,OMP,0.0002776,1.56E-05,2.88E-03,1.28E-02,1.92E-02,8.55E-02,
16,8,OMP,0.0003752,1.84E-05,2.13E-03,1.09E-02,1.33E-02,6.79E-02,
17,8,OMP,0.000398,1.84E-05,2.01E-03,1.09E-02,1.18E-02,6.39E-02,
18,8,OMP,0.0003538,1.66E-05,2.26E-03,1.20E-02,1.26E-02,6.69E-02,
19,8,OMP,0.0005198,2.10E-05,1.54E-03,9.52E-03,8.10E-03,5.01E-02,
20,8,OMP,0.0003666,1.78E-05,2.18E-03,1.12E-02,1.09E-02,5.62E-02,
21,8,OMP,0.0004686,1.58E-05,1.71E-03,1.27E-02,8.13E-03,6.03E-02,
22,8,OMP,0.0004356,1.58E-05,1.84E-03,1.27E-02,8.35E-03,5.75E-02,
23,8,OMP,0.000689,2.48E-05,1.16E-03,8.06E-03,5.05E-03,3.51E-02,
24,8,OMP,0.0004268,2.72E-05,1.87E-03,7.35E-03,7.81E-03,3.06E-02,
25,8,OMP,0.0005552,1.82E-05,1.44E-03,1.10E-02,5.76E-03,4.40E-02,
26,8,OMP,0.0005438,2.30E-05,1.47E-03,8.70E-03,5.66E-03,3.34E-02,
27,8,OMP,0.0006016,2.08E-05,1.33E-03,9.62E-03,4.93E-03,3.56E-02,
28,8,OMP,0.0005652,2.06E-05,1.42E-03,9.71E-03,5.06E-03,3.47E-02,
29,8,OMP,0.000723,2.66E-05,1.11E-03,7.52E-03,3.82E-03,2.59E-02,
30,8,OMP,0.0006948,2.44E-05,1.15E-03,8.20E-03,3.84E-03,2.73E-02,
31,8,OMP,0.0006672,1.94E-05,1.20E-03,1.03E-02,3.87E-03,3.33E-02,
32,8,OMP,0.0005752,2.58E-05,1.39E-03,7.75E-03,4.35E-03,2.42E-02,
33,8,OMP,0.0005878,2.36E-05,1.36E-03,8.47E-03,4.12E-03,2.57E-02,
34,8,OMP,0.000722,2.94E-05,1.11E-03,6.80E-03,3.26E-03,2.00E-02,
35,8,OMP,0.0006194,2.78E-05,1.29E-03,7.19E-03,3.69E-03,2.06E-02,
36,8,OMP,0.0007604,3.30E-05,1.05E-03,6.06E-03,2.92E-03,1.68E-02,
37,8,OMP,0.0007626,2.42E-05,1.05E-03,8.26E-03,2.84E-03,2.23E-02,
38,8,OMP,0.000674,2.56E-05,1.19E-03,7.81E-03,3.12E-03,2.06E-02,
39,8,OMP,0.0009478,2.70E-05,8.44E-04,7.41E-03,2.16E-03,1.90E-02,
40,8,OMP,0.0008428,3.72E-05,9.49E-04,5.38E-03,2.37E-03,1.34E-02,
41,8,OMP,0.0006918,3.30E-05,1.16E-03,6.06E-03,2.82E-03,1.48E-02,
42,8,OMP,0.0008468,3.06E-05,9.45E-04,6.54E-03,2.25E-03,1.56E-02,
43,8,OMP,0.0008826,2.82E-05,9.06E-04,7.09E-03,2.11E-03,1.65E-02,
44,8,OMP,0.000895,2.78E-05,8.94E-04,7.19E-03,2.03E-03,1.64E-02,
45,8,OMP,0.0009014,2.98E-05,8.88E-04,6.71E-03,1.97E-03,1.49E-02,
46,8,OMP,0.000888,3.26E-05,9.01E-04,6.13E-03,1.96E-03,1.33E-02,
47,8,OMP,0.000834,3.06E-05,9.59E-04,6.54E-03,2.04E-03,1.39E-02,
48,8,OMP,0.0008166,2.76E-05,9.80E-04,7.25E-03,2.04E-03,1.51E-02,
49,8,OMP,0.0008492,3.58E-05,9.42E-04,5.59E-03,1.92E-03,1.14E-02,
