Processes,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,scaling_RollingMean_MatTranspose,scaling_RollingMean_CheckSym
1,16,OMP,1.7e-05,2.2e-06,1.0,1.0
2,32,OMP,0.0001426,1.9600000000000002e-05,0.11224489795918367,0.11921458625525946
4,64,OMP,0.00014640000000000006,4e-05,0.055,0.11612021857923492
8,128,OMP,0.00022080000000000003,9.559999999999999e-05,0.023012552301255235,0.0769927536231884
16,256,OMP,0.0003822,0.00021040000000000005,0.010456273764258553,0.044479330193615906
32,512,OMP,0.0007524000000000001,0.0005356,0.004107542942494399,0.022594364699627854
64,1024,OMP,0.0017408,0.0020486,0.001073904129649517,0.009765625
1,16,MPI DT,8.82e-05,1e-06,1.0,1.0
2,32,MPI DT,0.0004754000000000001,3.6200000000000006e-05,0.02762430939226519,0.18552797644089183
4,64,MPI DT,0.00043200000000000004,6.720000000000001e-05,0.014880952380952378,0.20416666666666666
8,128,MPI DT,0.0006749999999999999,0.0001364,0.007331378299120234,0.13066666666666668
16,256,MPI DT,0.0012989999999999998,0.0005537999999999999,0.001805706031058144,0.0678983833718245
32,512,MPI DT,0.0040384,0.0039705999999999995,0.00025185110562635373,0.021840332805071316
64,1024,MPI DT,0.0105924,0.015597400000000003,6.411324964417145e-05,0.008326724821570182
1,32,OMP,4.7e-05,1.1e-05,1.0,1.0
2,64,OMP,0.0001692,4.58e-05,0.24017467248908295,0.2777777777777778
4,128,OMP,0.00025199999999999995,0.00011499999999999999,0.09565217391304348,0.18650793650793654
8,256,OMP,0.000297,0.00023540000000000006,0.04672897196261681,0.15824915824915822
16,512,OMP,0.0005518000000000001,0.0006564,0.01675807434491164,0.08517578832910473
32,1024,OMP,0.0011556,0.0020419999999999995,0.005386875612144957,0.04067151263412946
64,2048,OMP,0.0027378,0.006814199999999999,0.0016142760705585397,0.01716706844911973
1,32,MPI DT,2.48e-05,2.7999999999999994e-06,1.0,1.0
2,64,MPI DT,0.0002546,6.08e-05,0.04605263157894736,0.0974076983503535
4,128,MPI DT,0.0006046000000000001,0.0001402,0.01997146932952924,0.04101885544161429
8,256,MPI DT,0.0009626,0.0004772,0.005867560771165129,0.02576355703303553
16,512,MPI DT,0.0024706,0.0031508,0.00088866319664847,0.010038047437869345
32,1024,MPI DT,0.0083988,0.0114182,0.00024522253945455494,0.0029528027813497167
64,2048,MPI DT,0.036332800000000005,0.0523858,5.344959893711653e-05,0.0006825788268451646
1,64,OMP,3.34e-05,1.86e-05,1.0,1.0
2,128,OMP,0.00017240000000000002,0.0001418,0.13117066290550072,0.19373549883990718
4,256,OMP,0.000328,0.00033519999999999996,0.055489260143198105,0.10182926829268292
8,512,OMP,0.0005757999999999999,0.0007976000000000001,0.023319959879638915,0.058006252170892676
16,1024,OMP,0.0010718,0.0023708,0.00784545301164164,0.031162530322821423
32,2048,OMP,0.002184,0.0070798,0.0026271928585553266,0.01529304029304029
64,4096,OMP,0.006608800000000001,0.0237454,0.0007833096094401442,0.005053867570512044
1,64,MPI DT,3.4200000000000005e-05,1.32e-05,1.0,1.0
2,128,MPI DT,0.00034,0.000118,0.11186440677966103,0.10058823529411766
4,256,MPI DT,0.0007432000000000001,0.0005297999999999999,0.024915062287655727,0.04601722282023681
8,512,MPI DT,0.0021173999999999998,0.0021271999999999997,0.0062053403535163604,0.016151884386511765
16,1024,MPI DT,0.006949800000000001,0.009295200000000002,0.0014200877872450296,0.004921004921004921
32,2048,MPI DT,0.032521,0.035638800000000005,0.00037038284117310344,0.0010516281787152917
64,4096,MPI DT,0.15364979999999998,0.17364200000000002,7.601847479296483e-05,0.00022258408406649414
1,128,OMP,0.0001656,9.84e-05,1.0,1.0
2,256,OMP,0.0003288,0.0004376,0.22486288848263256,0.5036496350364963
4,512,OMP,0.0007726,0.0011094000000000002,0.08869659275283936,0.21434118560704113
8,1024,OMP,0.0013800000000000002,0.0031966,0.030782706625789902,0.11999999999999998
16,2048,OMP,0.0026559999999999995,0.008777000000000002,0.011211119972655803,0.062349397590361455
32,4096,OMP,0.0065742000000000005,0.027728,0.0035487593768032317,0.02518937665419366
1,128,MPI DT,6.7e-05,7.060000000000001e-05,1.0,1.0
2,256,MPI DT,0.0005926,0.0004042000000000001,0.1746660069272637,0.11306108673641581
4,512,MPI DT,0.0016232,0.0019672,0.03588857259048394,0.041276490882207986
8,1024,MPI DT,0.006434999999999999,0.0080496,0.008770622142715167,0.010411810411810414
16,2048,MPI DT,0.032414200000000004,0.030400599999999996,0.00232232258573844,0.0020669953292075695
32,4096,MPI DT,0.1410412,0.125612,0.000562048211954272,0.00047503849938883107
1,256,OMP,0.0002816,0.0002796,1.0,1.0
2,512,OMP,0.0009418,0.0015632,0.17886386898669396,0.2990019112338076
4,1024,OMP,0.0019218,0.0055124,0.05072200856251361,0.14652929545218027
8,2048,OMP,0.0040983999999999994,0.013083000000000004,0.021371245127264384,0.0687097403864923
16,4096,OMP,0.0097102,0.0364728,0.007665986707902877,0.02900043253486025
1,256,MPI DT,0.0004396,0.0004304,1.0,1.0
2,512,MPI DT,0.001258,0.0020668,0.20824462937874974,0.3494435612082671
4,1024,MPI DT,0.0060556,0.0078388,0.05490636321886003,0.07259396261311843
8,2048,MPI DT,0.029398800000000006,0.032778800000000004,0.013130437966002415,0.014952991278555584
16,4096,MPI DT,0.1479876,0.1188906,0.0036201348130129717,0.002970519151604594
1,512,OMP,0.001038,0.0011162000000000001,1.0,1.0
2,1024,OMP,0.0028188,0.0079452,0.14048733826712986,0.3682418050234142
4,2048,OMP,0.006763999999999999,0.021943,0.05086815841042702,0.15345949142519222
8,4096,OMP,0.0162226,0.0555156,0.02010606027855234,0.06398481131261327
1,512,MPI DT,0.0013352,0.0029286,1.0,1.0
2,1024,MPI DT,0.0046828,0.0109328,0.26787282306453974,0.2851285555650465
4,2048,MPI DT,0.025401,0.034746,0.08428596097392506,0.05256485965119483
8,4096,MPI DT,0.16164459999999994,0.13148020000000002,0.022274076248743155,0.008260096532763855
1,1024,OMP,0.0041348,0.0048886,1.0,1.0
2,2048,OMP,0.0109166,0.0315218,0.1550863212126211,0.3787626183976696
4,4096,OMP,0.028891000000000003,0.091982,0.05314735491726642,0.14311723374061125
1,1024,MPI DT,0.0052646,0.0189748,1.0,1.0
2,2048,MPI DT,0.0227178,0.0447264,0.4242416112184303,0.23173898881053626
4,4096,MPI DT,0.1945352,0.15852220000000003,0.11969806121792403,0.027062454506947844
1,2048,OMP,0.0174268,0.0249942,1.0,1.0
2,4096,OMP,0.051133799999999986,0.13519620000000002,0.18487353934504075,0.3408078413886706
1,2048,MPI DT,0.0284626,0.07331679999999999,1.0,1.0
2,4096,MPI DT,0.2355338,0.2434764,0.301124872882957,0.12084295332559489
1,4096,OMP,0.090861,0.1256932,1.0,1.0
1,4096,MPI DT,0.26666860000000003,0.35634720000000003,1.0,1.0
