Processes,Dim,Version,RollingMean_MatTranspose,SpeedupMatTrans,EfficiencyMatTrans
1,16,SEQ,1.2e-06,,
1,16,MPI BDV,0.0001736,0.0069124423963133645,0.6912442396313364
4,16,MPI BDV,0.0004036,0.002973240832507433,0.07433102081268583
16,16,MPI BDV,0.000726,0.001652892561983471,0.010330578512396695
1,16,MPI DT,1e-06,1.2,120.0
2,16,MPI DT,3.4200000000000005e-05,0.035087719298245605,1.7543859649122802
3,16,MPI DT,3.920000000000001e-05,0.030612244897959173,1.0204081632653057
4,16,MPI DT,3.8799999999999994e-05,0.030927835051546396,0.7731958762886599
5,16,MPI DT,3.84e-05,0.03125,0.625
6,16,MPI DT,4.9400000000000015e-05,0.024291497975708492,0.4048582995951415
7,16,MPI DT,4.8599999999999995e-05,0.02469135802469136,0.35273368606701944
8,16,MPI DT,4.94e-05,0.0242914979757085,0.30364372469635625
9,16,MPI DT,5.680000000000001e-05,0.021126760563380278,0.23474178403755866
10,16,MPI DT,0.00021740000000000005,0.005519779208831645,0.05519779208831646
11,16,MPI DT,6.14e-05,0.019543973941368076,0.1776724903760734
12,16,MPI DT,0.000293,0.00409556313993174,0.0341296928327645
13,16,MPI DT,0.000153,0.00784313725490196,0.06033182503770739
14,16,MPI DT,0.0002318,0.005176876617773943,0.03697769012695673
15,16,MPI DT,0.0004182,0.0028694404591104736,0.01912960306073649
16,16,MPI DT,0.0003242,0.0037014188772362734,0.023133867982726708
17,16,MPI DT,0.00041479999999999995,0.0028929604628736743,0.0170174144874922
18,16,MPI DT,0.00034160000000000006,0.003512880562060889,0.019516003122560494
19,16,MPI DT,0.00043,0.0027906976744186047,0.014687882496940025
20,16,MPI DT,0.00035380000000000003,0.003391746749576031,0.016958733747880157
21,16,MPI DT,0.00043419999999999993,0.002763703362505758,0.013160492202408372
22,16,MPI DT,0.0004422000000000001,0.0027137042062415186,0.01233501911927963
23,16,MPI DT,0.0005774000000000003,0.002078281953585035,0.009036008493847978
24,16,MPI DT,0.0005367999999999999,0.0022354694485842027,0.009314456035767511
25,16,MPI DT,0.0004672000000000001,0.002568493150684931,0.010273972602739724
26,16,MPI DT,0.0005637999999999999,0.0021284143313231646,0.008186208966627556
27,16,MPI DT,0.0029804,0.00040263051939337,0.0014912241459013704
28,16,MPI DT,0.0006012000000000001,0.001996007984031936,0.0071285999429712
29,16,MPI DT,0.0005558,0.0021590500179920835,0.007445000062041667
30,16,MPI DT,0.0005545999999999999,0.002163721601153985,0.00721240533717995
31,16,MPI DT,0.0005809999999999999,0.0020654044750430295,0.006662595080783967
32,16,MPI DT,0.0005924000000000001,0.0020256583389601616,0.006330182309250506
33,16,MPI DT,0.0013168,0.0009113001215066828,0.0027615155197172206
34,16,MPI DT,0.0005676,0.002114164904862579,0.006218132073125233
35,16,MPI DT,0.0004866000000000001,0.002466091245376078,0.007045974986788794
36,16,MPI DT,0.0005803999999999999,0.0020675396278428673,0.005743165632896854
37,16,MPI DT,0.00045220000000000004,0.002653693056169836,0.007172143395053611
38,16,MPI DT,0.0005514,0.002176278563656148,0.005727048851726706
39,16,MPI DT,0.0005164,0.0023237800154918666,0.005958410296132991
40,16,MPI DT,0.0006087999999999999,0.001971090670170828,0.00492772667542707
41,16,MPI DT,0.0005154,0.002328288707799767,0.00567875294585309
42,16,MPI DT,0.0016999999999999995,0.0007058823529411766,0.0016806722689075633
43,16,MPI DT,0.0005606,0.0021405636817695326,0.004978055073882634
44,16,MPI DT,0.0010192,0.0011773940345368916,0.00267589553303839
45,16,MPI DT,0.0009204,0.001303780964797914,0.0028972910328842532
46,16,MPI DT,0.0008921999999999998,0.0013449899125756559,0.002923891114294904
47,16,MPI DT,0.0006274,0.0019126554032515143,0.0040694795813862004
48,16,MPI DT,0.0006392,0.0018773466833541925,0.0039111389236545675
49,16,MPI DT,0.0006306,0.0019029495718363462,0.003883570554768053
50,16,MPI DT,0.0005283999999999999,0.002271006813020439,0.004542013626040878
51,16,MPI DT,0.0006476,0.0018529956763434217,0.0036333248555753365
52,16,MPI DT,0.002326,0.0005159071367153912,0.00099212910906806
53,16,MPI DT,0.0006564,0.0018281535648994513,0.0034493463488668896
54,16,MPI DT,0.0006263999999999999,0.0019157088122605365,0.003547608911593586
55,16,MPI DT,0.0012545999999999998,0.0009564801530368245,0.0017390548237033174
56,16,MPI DT,0.0006552000000000001,0.001831501831501831,0.0032705389848246987
57,16,MPI DT,0.0006793999999999999,0.0017662643508978512,0.0030987093875400893
58,16,MPI DT,0.0006547999999999999,0.0018326206475259624,0.0031596907715964865
59,16,MPI DT,0.0006726,0.001784121320249777,0.003023934441101317
60,16,MPI DT,0.0006896,0.0017401392111368909,0.002900232018561485
61,16,MPI DT,0.0006580000000000001,0.0018237082066869298,0.0029896855847326717
62,16,MPI DT,0.0008085999999999999,0.0014840465001236707,0.0023936233872962434
63,16,MPI DT,0.000688,0.0017441860465116277,0.0027685492801771865
64,16,MPI DT,0.0007132000000000001,0.0016825574873808185,0.002628996074032529
65,16,MPI DT,0.0006938,0.0017296050735082157,0.002660930882320332
66,16,MPI DT,0.0009629999999999998,0.0012461059190031155,0.0018880392712168417
67,16,MPI DT,0.0009954,0.0012055455093429777,0.0017993216557357877
68,16,MPI DT,0.0006818,0.0017600469345849222,0.002588304315566062
69,16,MPI DT,0.0011108,0.0010803024846957148,0.0015656557749213257
70,16,MPI DT,0.0006876,0.001745200698080279,0.0024931438544003987
71,16,MPI DT,0.0007601999999999999,0.0015785319652722968,0.002223284458129995
72,16,MPI DT,0.0007622000000000001,0.0015743899239044868,0.002186652672089565
73,16,MPI DT,0.0031446,0.00038160656363289447,0.0005227487173053349
74,16,MPI DT,0.0007578,0.001583531274742676,0.0021399071280306433
75,16,MPI DT,0.0007306,0.0016424856282507528,0.0021899808376676707
76,16,MPI DT,0.0033464,0.00035859431030360985,0.00047183461882053927
77,16,MPI DT,0.0007834000000000001,0.0015317845289762571,0.0019893305571120224
78,16,MPI DT,0.000775,0.0015483870967741935,0.0019851116625310174
79,16,MPI DT,0.0008590000000000001,0.0013969732246798601,0.001768320537569443
80,16,MPI DT,0.0008448,0.0014204545454545453,0.0017755681818181818
81,16,MPI DT,0.0008429999999999997,0.0014234875444839863,0.0017573920302271435
82,16,MPI DT,0.0007897999999999999,0.0015193719929095975,0.001852892674279997
83,16,MPI DT,0.0032638000000000007,0.00036766958759727915,0.00044297540674370986
84,16,MPI DT,0.0011274000000000002,0.0010643959552953696,0.0012671380420182972
85,16,MPI DT,0.003255200000000001,0.0003686409437208158,0.0004336952279068421
86,16,MPI DT,0.0029771999999999997,0.00040306328093510683,0.0004686782336454731
87,16,MPI DT,0.0008119999999999999,0.001477832512315271,0.0016986580601324956
88,16,MPI DT,0.0023156,0.0005182242183451373,0.0005888911572103833
89,16,MPI DT,0.003327,0.0003606853020739405,0.0004052643843527421
90,16,MPI DT,0.0008774000000000001,0.0013676772281741507,0.0015196413646379452
91,16,MPI DT,0.0016728,0.0007173601147776184,0.0007883078184369432
92,16,MPI DT,0.0008742000000000001,0.0013726835964310224,0.0014920473874250244
93,16,MPI DT,0.0105656,0.00011357613386840312,0.0001221248751273152
94,16,MPI DT,0.0081084,0.0001479946721918011,0.0001574411406295756
95,16,MPI DT,0.005954600000000001,0.00020152487152789436,0.000212131443713573
96,16,MPI DT,0.00834,0.00014388489208633093,0.00014988009592326138
1,32,SEQ,6.4e-06,,
1,32,MPI BDV,0.00018659999999999998,0.03429796355841372,3.429796355841372
4,32,MPI BDV,0.0005943999999999999,0.010767160161507404,0.26917900403768513
16,32,MPI BDV,0.0007,0.009142857142857142,0.057142857142857134
1,32,MPI DT,2e-06,3.2,320.0
2,32,MPI DT,3.9200000000000004e-05,0.16326530612244897,8.16326530612245
3,32,MPI DT,4.02e-05,0.15920398009950248,5.306799336650083
4,32,MPI DT,4.44e-05,0.14414414414414414,3.6036036036036037
5,32,MPI DT,4.3200000000000007e-05,0.1481481481481481,2.9629629629629624
6,32,MPI DT,4.56e-05,0.14035087719298245,2.3391812865497075
7,32,MPI DT,4.8200000000000006e-05,0.13278008298755184,1.8968583283935976
8,32,MPI DT,5.520000000000001e-05,0.11594202898550722,1.4492753623188404
9,32,MPI DT,5.56e-05,0.11510791366906474,1.2789768185451638
10,32,MPI DT,0.00015859999999999998,0.04035308953341741,0.40353089533417413
11,32,MPI DT,7.139999999999999e-05,0.08963585434173671,0.8148714031066974
12,32,MPI DT,0.00016800000000000002,0.03809523809523809,0.31746031746031744
13,32,MPI DT,6.759999999999999e-05,0.09467455621301776,0.7282658170232136
14,32,MPI DT,0.0002416,0.026490066225165563,0.1892147587511826
15,32,MPI DT,0.00017380000000000002,0.036823935558112766,0.24549290372075178
16,32,MPI DT,0.0002364,0.02707275803722504,0.1692047377326565
17,32,MPI DT,0.00014519999999999998,0.0440771349862259,0.25927726462485823
18,32,MPI DT,0.00016319999999999998,0.0392156862745098,0.21786492374727667
19,32,MPI DT,0.0004194,0.015259895088221268,0.08031523730642773
20,32,MPI DT,0.00025199999999999995,0.0253968253968254,0.126984126984127
21,32,MPI DT,0.00032060000000000004,0.01996257018091079,0.09505985800433708
22,32,MPI DT,0.0003686,0.017362995116657624,0.07892270507571647
23,32,MPI DT,0.0002906,0.02202339986235375,0.0957539124450163
24,32,MPI DT,0.0005468,0.011704462326261888,0.0487685930260912
25,32,MPI DT,0.0004902,0.013055895552835577,0.052223582211342316
26,32,MPI DT,0.00046939999999999997,0.013634426927993182,0.05244010356920454
27,32,MPI DT,0.000553,0.011573236889692586,0.042863840332194765
28,32,MPI DT,0.0005679999999999999,0.011267605633802818,0.040241448692152924
29,32,MPI DT,0.0005348,0.011967090501121914,0.0412658293142135
30,32,MPI DT,0.0005572,0.01148600143575018,0.0382866714525006
31,32,MPI DT,0.0005792000000000001,0.011049723756906075,0.035644270183567986
32,32,MPI DT,0.0005542,0.01154817755322988,0.03608805485384337
33,32,MPI DT,0.0005596,0.011436740528949248,0.03465678948166439
34,32,MPI DT,0.0005612,0.011404133998574484,0.0335415705840426
35,32,MPI DT,0.0005482,0.011674571324334184,0.03335591806952624
36,32,MPI DT,0.0008636000000000001,0.007410838351088466,0.02058566208635685
37,32,MPI DT,0.0005685999999999999,0.011255715793176222,0.03042085349507087
38,32,MPI DT,0.0005288000000000001,0.01210287443267776,0.031849669559678315
39,32,MPI DT,0.0005344,0.011976047904191617,0.030707815138952863
40,32,MPI DT,0.0004990000000000001,0.012825651302605207,0.032064128256513016
41,32,MPI DT,0.0004448,0.014388489208633093,0.0350938761186173
42,32,MPI DT,0.000629,0.010174880763116057,0.024225906578847753
43,32,MPI DT,0.0006383999999999999,0.010025062656641605,0.023314099201492106
44,32,MPI DT,0.0006123999999999999,0.010450685826257348,0.02375155869603943
45,32,MPI DT,0.0006476,0.009882643607164916,0.021961430238144255
46,32,MPI DT,0.0006122,0.010454099967330937,0.022726304276806386
47,32,MPI DT,0.000593,0.010792580101180439,0.022962936385490296
48,32,MPI DT,0.0005624,0.011379800853485063,0.02370791844476055
49,32,MPI DT,0.0006657999999999999,0.009612496245118654,0.019617339275752356
50,32,MPI DT,0.0006940000000000001,0.009221902017291065,0.01844380403458213
51,32,MPI DT,0.0006094000000000001,0.010502133245815554,0.020592418129050105
52,32,MPI DT,0.0006402000000000001,0.009996875976257417,0.019224761492802726
53,32,MPI DT,0.0006904,0.009269988412514484,0.01749054417455563
54,32,MPI DT,0.0006405999999999999,0.009990633780830474,0.01850117366820458
55,32,MPI DT,0.000558,0.011469534050179211,0.020853698273053112
56,32,MPI DT,0.0006845999999999999,0.009348524685947998,0.016693794082049997
57,32,MPI DT,0.0006478,0.009879592466810742,0.017332618362825864
58,32,MPI DT,0.0007311999999999999,0.008752735229759301,0.015090922809929831
59,32,MPI DT,0.0006034,0.010606562810739144,0.017977225102947702
60,32,MPI DT,0.0007028000000000001,0.009106431417188388,0.015177385695313982
61,32,MPI DT,0.0006724000000000001,0.009518143961927423,0.0156035146916843
62,32,MPI DT,0.0007074000000000001,0.009047215154085382,0.014592282506589326
63,32,MPI DT,0.0006935999999999999,0.00922722029988466,0.014646381428388349
64,32,MPI DT,0.0011404000000000002,0.005612065941774815,0.008768853034023147
65,32,MPI DT,0.0006801999999999999,0.009408997353719495,0.014475380544183838
66,32,MPI DT,0.0007076000000000001,0.009044657998869417,0.013704027271014269
67,32,MPI DT,0.0006041999999999999,0.010592519033432638,0.01580972990064573
68,32,MPI DT,0.0006766,0.009459060005911913,0.013910382361635167
69,32,MPI DT,0.0007627999999999999,0.008390141583639224,0.012159625483535106
70,32,MPI DT,0.0006642,0.009635651912074676,0.013765217017249538
71,32,MPI DT,0.0006732,0.0095068330362448,0.01338990568485183
72,32,MPI DT,0.000676,0.009467455621301775,0.013149243918474687
73,32,MPI DT,0.0007693999999999999,0.008318170002599429,0.011394753428218397
74,32,MPI DT,0.0007698,0.00831384775266303,0.011234929395490582
75,32,MPI DT,0.0008254000000000001,0.007753816331475647,0.010338421775300862
76,32,MPI DT,0.0007384,0.00866738894907909,0.011404459143525118
77,32,MPI DT,0.0033194,0.0019280592878231004,0.0025039731010689614
78,32,MPI DT,0.003246,0.001971657424522489,0.002527765928874986
79,32,MPI DT,0.0012352,0.005181347150259067,0.0065586672788089445
80,32,MPI DT,0.0007954000000000001,0.008046266029670604,0.010057832537088255
81,32,MPI DT,0.0007670000000000001,0.008344198174706647,0.010301479228032897
82,32,MPI DT,0.0010036,0.006377042646472698,0.007776881276186217
83,32,MPI DT,0.0009324,0.006864006864006864,0.008269887787960077
84,32,MPI DT,0.0032298,0.0019815468450058824,0.002358984339292717
85,32,MPI DT,0.0010209999999999998,0.006268364348677768,0.0073745462925620805
86,32,MPI DT,0.0007497999999999999,0.008535609495865565,0.009925127320773913
87,32,MPI DT,0.0056902,0.0011247407823978066,0.0012928054970089732
88,32,MPI DT,0.0032380000000000004,0.0019765287214329828,0.002246055365264753
89,32,MPI DT,0.0008766,0.00730093543235227,0.008203298238598056
90,32,MPI DT,0.003553600000000001,0.0018009905447996391,0.0020011006053329327
91,32,MPI DT,0.006012399999999999,0.0010644667686780654,0.001169743701844028
92,32,MPI DT,0.005795799999999999,0.0011042479036543706,0.001200269460493881
93,32,MPI DT,0.0032472,0.001970928800197093,0.0021192782797818206
94,32,MPI DT,0.0036108000000000004,0.0017724603965880135,0.001885596166582993
95,32,MPI DT,0.015388199999999998,0.00041590309457896317,0.0004377927311357507
96,32,MPI DT,0.010551799999999998,0.0006065315870278057,0.0006318037364872976
1,64,SEQ,2.7600000000000003e-05,,
1,64,MPI BDV,0.00017979999999999998,0.15350389321468302,15.350389321468302
4,64,MPI BDV,0.0006454,0.04276417725441587,1.0691044313603968
16,64,MPI BDV,0.0008513999999999999,0.03241719520789289,0.20260747004933058
64,64,MPI BDV,0.0011144,0.02476669059583633,0.038697954055994264
1,64,MPI DT,1.2e-05,2.3000000000000003,230.00000000000003
2,64,MPI DT,5.98e-05,0.4615384615384616,23.07692307692308
3,64,MPI DT,5.7e-05,0.4842105263157895,16.140350877192983
4,64,MPI DT,6.200000000000003e-05,0.4451612903225805,11.129032258064512
5,64,MPI DT,5.86e-05,0.47098976109215024,9.419795221843005
6,64,MPI DT,6.459999999999998e-05,0.4272445820433438,7.120743034055731
7,64,MPI DT,6.1e-05,0.4524590163934427,6.463700234192039
8,64,MPI DT,6.840000000000001e-05,0.40350877192982454,5.0438596491228065
9,64,MPI DT,8.700000000000001e-05,0.3172413793103448,3.5249042145593865
10,64,MPI DT,9.159999999999999e-05,0.30131004366812236,3.0131004366812237
11,64,MPI DT,0.00011599999999999999,0.23793103448275868,2.163009404388715
12,64,MPI DT,9.259999999999999e-05,0.2980561555075595,2.483801295896329
13,64,MPI DT,0.0001036,0.26640926640926643,2.0493020493020495
14,64,MPI DT,0.0001336,0.20658682634730544,1.4756201881950388
15,64,MPI DT,0.00010700000000000001,0.25794392523364484,1.7196261682242988
16,64,MPI DT,8.04e-05,0.3432835820895523,2.145522388059702
17,64,MPI DT,0.00012319999999999999,0.22402597402597407,1.3177998472116121
18,64,MPI DT,0.00024619999999999997,0.1121039805036556,0.6227998916869756
19,64,MPI DT,0.0001406,0.19630156472261737,1.0331661301190387
20,64,MPI DT,0.0002986,0.09243134628265239,0.4621567314132619
21,64,MPI DT,0.00013580000000000002,0.203240058910162,0.9678098043341047
22,64,MPI DT,0.0002298,0.12010443864229767,0.5459292665558985
23,64,MPI DT,0.00034100000000000005,0.08093841642228738,0.3519061583577712
24,64,MPI DT,0.0002444,0.11292962356792147,0.4705400981996728
25,64,MPI DT,0.000515,0.05359223300970874,0.21436893203883495
26,64,MPI DT,0.0004422000000000001,0.062415196743554946,0.24005844901367288
27,64,MPI DT,0.0004294,0.06427573358174198,0.23805827252497028
28,64,MPI DT,0.0001742,0.1584385763490241,0.5658520583893718
29,64,MPI DT,0.00044699999999999997,0.061744966442953034,0.21291367738949324
30,64,MPI DT,0.0002452,0.11256117455138664,0.3752039151712888
31,64,MPI DT,0.00035860000000000004,0.0769659788064696,0.24827735098861162
32,64,MPI DT,0.00030619999999999996,0.09013716525146966,0.2816786414108427
33,64,MPI DT,0.000545,0.05064220183486239,0.1534612176814012
34,64,MPI DT,0.0003952000000000001,0.06983805668016194,0.2054060490592998
35,64,MPI DT,0.0003198,0.08630393996247655,0.24658268560707586
36,64,MPI DT,0.0005064000000000001,0.054502369668246446,0.15139547130068456
37,64,MPI DT,0.0006238000000000001,0.0442449503045848,0.11958094676914811
38,64,MPI DT,0.0006720000000000001,0.04107142857142857,0.1080827067669173
39,64,MPI DT,0.0004346,0.06350667280257709,0.1628376225707105
40,64,MPI DT,0.0007918000000000003,0.034857287193735785,0.08714321798433947
41,64,MPI DT,0.0004364,0.06324472960586619,0.15425543806308828
42,64,MPI DT,0.0010527999999999998,0.026215805471124627,0.062418584455058636
43,64,MPI DT,0.0006201999999999999,0.04450177362141246,0.10349249679398247
44,64,MPI DT,0.0004958,0.05566760790641388,0.12651729069639517
45,64,MPI DT,0.0011154000000000001,0.02474448628294782,0.05498774729543961
46,64,MPI DT,0.0005518000000000001,0.05001812250815513,0.10873504893077202
47,64,MPI DT,0.000786,0.035114503816793895,0.07471171024849765
48,64,MPI DT,0.0006608,0.04176755447941889,0.08701573849878935
49,64,MPI DT,0.00108,0.025555555555555557,0.052154195011337875
50,64,MPI DT,0.0005327999999999999,0.051801801801801814,0.10360360360360363
51,64,MPI DT,0.0005534,0.049873509215757145,0.09779119454070029
52,64,MPI DT,0.000923,0.029902491874322864,0.05750479206600551
53,64,MPI DT,0.0006211999999999999,0.04443013522215069,0.08383044381537866
54,64,MPI DT,0.0010864000000000002,0.02540500736377025,0.04704630993290787
55,64,MPI DT,0.0008298,0.033261026753434564,0.06047459409715375
56,64,MPI DT,0.0006416,0.04301745635910225,0.07681688635553972
57,64,MPI DT,0.0005451999999999999,0.05062362435803376,0.08881337606672589
58,64,MPI DT,0.000688,0.040116279069767447,0.06916599839615077
59,64,MPI DT,0.0007147999999999999,0.038612199216564086,0.06544440545180354
60,64,MPI DT,0.0007553999999999999,0.036536934074662436,0.06089489012443739
61,64,MPI DT,0.0013333999999999998,0.02069896505174742,0.03393272959302855
62,64,MPI DT,0.0008506000000000001,0.03244768398777334,0.05233497417382797
63,64,MPI DT,0.0007692,0.0358814352574103,0.056954659138746505
64,64,MPI DT,0.0006882000000000001,0.040104620749782036,0.06266346992153443
65,64,MPI DT,0.0007092,0.038917089678511006,0.05987244565924771
66,64,MPI DT,0.0008906000000000002,0.030990343588591956,0.04695506604332115
67,64,MPI DT,0.0009196,0.030013049151805134,0.044795595748962885
68,64,MPI DT,0.0007946,0.03473445758872389,0.05108008468929984
69,64,MPI DT,0.0008337999999999999,0.033101463180618865,0.04797313504437516
70,64,MPI DT,0.000608,0.045394736842105265,0.06484962406015038
71,64,MPI DT,0.0008312000000000001,0.033205004812319534,0.04676761241171765
72,64,MPI DT,0.0008988000000000002,0.03070761014686248,0.042649458537309
73,64,MPI DT,0.0008818000000000002,0.03129961442503969,0.04287618414388998
74,64,MPI DT,0.0008985999999999998,0.03071444469174272,0.041506006340192865
75,64,MPI DT,0.000909,0.030363036303630367,0.04048404840484049
76,64,MPI DT,0.0009662,0.028565514386255438,0.03758620313980979
77,64,MPI DT,0.0008730000000000001,0.03161512027491409,0.04105859775962868
78,64,MPI DT,0.0010023999999999999,0.027533918595371118,0.03529989563509117
79,64,MPI DT,0.0010522,0.02623075460938985,0.03320348684732893
80,64,MPI DT,0.0009891999999999998,0.027901334411645783,0.03487666801455723
81,64,MPI DT,0.0060344000000000005,0.0045737770117990195,0.005646638286171629
82,64,MPI DT,0.015969999999999998,0.0017282404508453355,0.0021076103059089455
83,64,MPI DT,0.0010384,0.026579352850539292,0.03202331668739674
84,64,MPI DT,0.0033488000000000003,0.008241758241758242,0.009811616954474097
85,64,MPI DT,0.0112624,0.002450632192072738,0.002883096696556162
86,64,MPI DT,0.0011016,0.02505446623093682,0.029133100268531185
87,64,MPI DT,0.0011288,0.024450744153082925,0.028104303624233246
88,64,MPI DT,0.011874,0.002324406265790804,0.0026413707565804594
